RATE,TYPE,LOCATIONID,TS
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:49.320"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:49.320"
2700,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:49.320"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:04:03.630"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:04:03.630"
2700,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:04:03.630"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:08.991"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:08.991"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:08.991"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:23.037"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:23.037"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:23.037"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:37.318"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:37.318"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:37.318"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:50.975"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:50.975"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:05:50.975"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:05.373"
300,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:05.373"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:05.373"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:06:19.525"
